addr,time,after_relax,i,after_write,tmin,tmax,timept
13000,1.0033833980560303,41,0,41,40,44,1
13000,1.0033833980560303,37,1,41,40,44,1
13000,1.0033833980560303,35,2,35,40,44,1
13000,1.0033833980560303,45,3,37,40,44,1
13000,1.0033833980560303,45,4,37,40,44,1
13000,1.0033833980560303,43,5,43,40,44,1
13000,1.0033833980560303,43,6,35,40,44,1
13000,1.0033833980560303,37,7,45,40,44,1
13000,1.0033833980560303,37,8,45,40,44,1
13000,1.0033833980560303,35,9,45,40,44,1
13000,1.0033833980560303,35,10,45,40,44,1
13000,1.0033833980560303,41,11,45,40,44,1
13000,1.0033833980560303,45,12,45,40,44,1
13000,1.0033833980560303,45,13,37,40,44,1
13000,1.0033833980560303,37,14,37,40,44,1
13000,1.0033833980560303,35,15,45,40,44,1
13001,1.0062918663024902,37,0,45,41,45,1
13001,1.0062918663024902,43,1,45,41,45,1
13001,1.0062918663024902,45,2,45,41,45,1
13001,1.0062918663024902,45,3,45,41,45,1
13001,1.0062918663024902,37,4,35,41,45,1
13001,1.0062918663024902,37,5,35,41,45,1
13001,1.0062918663024902,37,6,45,41,45,1
13001,1.0062918663024902,45,7,45,41,45,1
13001,1.0062918663024902,37,8,45,41,45,1
13001,1.0062918663024902,45,9,37,41,45,1
13001,1.0062918663024902,35,10,35,41,45,1
13001,1.0062918663024902,41,11,45,41,45,1
13001,1.0062918663024902,35,12,45,41,45,1
13001,1.0062918663024902,37,13,45,41,45,1
13001,1.0062918663024902,35,14,35,41,45,1
13001,1.0062918663024902,45,15,37,41,45,1
13002,0.9965744018554688,35,0,35,42,46,1
13002,0.9965744018554688,43,1,35,42,46,1
13002,0.9965744018554688,43,2,35,42,46,1
13002,0.9965744018554688,43,3,43,42,46,1
13002,0.9965744018554688,39,4,35,42,46,1
13002,0.9965744018554688,43,5,35,42,46,1
13002,0.9965744018554688,35,6,43,42,46,1
13002,0.9965744018554688,43,7,43,42,46,1
13002,0.9965744018554688,35,8,35,42,46,1
13002,0.9965744018554688,35,9,35,42,46,1
13002,0.9965744018554688,39,10,35,42,46,1
13002,0.9965744018554688,35,11,43,42,46,1
13002,0.9965744018554688,35,12,35,42,46,1
13002,0.9965744018554688,35,13,35,42,46,1
13002,0.9965744018554688,43,14,43,42,46,1
13002,0.9965744018554688,35,15,43,42,46,1
13003,0.9966366291046143,48,0,39,43,47,1
13003,0.9966366291046143,39,1,43,43,47,1
